sourcename; 4FG alias
0106+01; 4FGL J0108.6+0134
0157-4614; 4FGL J0157.7-4614
0242+23; 4FGL J0245.4+2408
0322+222; 4FGL J0325.7+2225
0420+022; 4FGL J0422.8+0225
0451-28; 4FGL J0453.1-2806
0458-02; 4FGL J0501.2-0158 
0601-70; 4FGL J0601.1-7035
0625-5438; 4FGL J0625.8-5441
0907+230; 4FGL J0910.6+2247 
0908+416; 4FGL J0912.2+4127
1149-084; 4FGL J1152.3-0839
1343+451; 4FGL J1345.5+4453
1344-1723; 4FGL J1344.2-1723 
1537+2754; 4FGL J1539.6+2743
1656-3302; 4FGL J1656.3-3301
1959-4246; 4FGL J1959.1-4247
2118+188; 4FGL J2121.0+1901
2135-5006; 4FGL J2135.3-5006
