sourcename; photon_flux_1_100_gev; photon_flux_1_100_gev_error; powerlaw_index; powerlaw_index_error; pivot_energy_mev
0106+01; 1.1336e-10; 9.5289e-13; 2.3492; 0.0066; 461.98
0157-4614; 9.1587e-13; 6.3197e-14; 2.4539; 0.0548; 804.77
0242+23; 3.6458e-12; 2.8627e-13; 2.7243; 0.0603; 520.62
0322+222; 1.1849e-11; 3.9449e-13; 2.6223; 0.0262; 518.90
0420+022; 3.4260e-12; 4.6626e-13; 2.8380; 0.0945; 436.43
0451-28; 3.1248e-11; 7.4095e-13; 2.6301; 0.0207; 362.96
0458-02; 4.1241e-11; 6.0203e-13; 2.3739; 0.0118; 470.37
0601-70; 5.8086e-12; 1.4483e-13; 2.3737; 0.0204; 713.86
0625-5438; 2.4442e-12; 2.1293e-13; 2.7761; 0.0769; 522.11
0907+230; 5.6414e-13; 4.6688e-14; 2.4086; 0.0607; 1026.95
0908+416; 1.4326e-12; 7.2343e-14; 2.5049; 0.0460; 799.15
1149-084; 5.5526e-12; 2.0189e-13; 2.4233; 0.0302; 628.78
1343+451; 4.4174e-11; 4.5422e-13; 2.2774; 0.0080; 513.88
1344-1723; 2.3148e-12; 	8.0137e-14; 2.2025; 0.0261; 946.10
1537+2754; 1.0797e-12; 5.6029e-14; 2.2640; 0.0414; 910.32
1656-3302; 2.7401e-12; 1.9586e-13; 2.8316; 0.0565; 769.32
1959-4246; 1.6688e-12; 	1.0403e-13; 2.4405; 0.0515; 750.03
2118+188; 2.9266e-12; 8.8399e-14; 2.2121; 0.0237; 912.74
2135-5006; 9.1344e-13; 5.2382e-14; 2.3866; 0.0447; 993.41
