sourcename; z; Rdiss; M; Pi; Ld; B; Gamma; gammab; gammamax; s1; s2; gammac
0106+01; 2.107; 900; 5.0e+9; 0.08; 75; 1.13; 14; 300; 5.0e+3; 0; 3.1; 2.0
0157-4614; 2.287; 195; 5.0e+8; 0.015; 7.5; 1.54; 15; 200; 2.0e+3; -1; 3.0; 5.7
0242+23; 2.243; 420; 2.0e+9; 0.022; 66; 2.13; 15; 220; 2.0e+3; 0.5; 3.1; 2.6
0322+222; 2.066; 450; 3.0e+9; 0.06; 45; 2.06; 12; 150; 3.0e+3; 0.5; 3.1; 3.7
0420+022; 2.277; 210; 5.0e+8; 0.02; 52.5; 3.79; 15; 300; 2.0e+3; -1; 3.2; 4.9
0451-28; 2.56; 540; 4.0e+9; 0.24; 120; 2.66; 10; 180; 2.0e+3; 0; 2.6; 4.1
0458-02; 2.291; 472; 3.5e+9; 0.07; 37; 2.14; 10; 200; 5.0e+3; 0.8; 3.0; 4.9
0601-70; 2.409; 525; 3.5e+9; 0.05; 37; 1.83; 12.9; 190; 5.0e+3; -1; 3.1; 2.8
0625-5438; 2.051; 270; 1.0e+9; 0.03; 42; 2.64; 15; 240; 5.0e+3; 0; 4.0; 3.9
0907+230; 2.661; 360; 8.0e+8; 0.05; 8.4; 0.36; 13; 300; 1.7e+4; 0.75; 2.8; 32.7
0908+416; 2.563; 180; 1.0e+9; 0.025; 12; 1.06; 14; 150; 3.0e+3; 0; 3.1; 7.0
1149-084; 2.367; 720; 4.0e+9; 0.015; 72; 1.39; 14; 300; 3.0e+3; -1; 3.0; 1.8
1343+451; 2.534; 420; 2.0e+9; 0.045; 15; 1.09; 14; 150; 5.0e+3; -1; 2.8; 6.5
1344-1723; 2.409; 330; 1.0e+9; 0.027; 7.5; 0.89; 16; 1.4e+3; 8.0e+3; -1; 2.5; 26.2
1537+2754; 2.19; 120; 1.0e+9; 0.015; 13.5; 4.42; 11.5; 60; 4.0e+3; 0.5; 2.1; 12.2
1656-3302; 2.4; 525; 2.5e+9; 0.07; 124; 1.09; 15; 70; 1.0e+4; 0.75; 2.85; 2.1
1959-4246; 2.174; 825; 5.5e+9; 0.024; 66; 1.51; 12.9; 170; 5.0e+3; 0; 2.7; 1.9
2118+188; 2.18; 270; 1.5e+9; 0.022; 18; 1.85; 14; 250; 1.0e+4; 0.5; 2.8; 4.6
2135-5006; 2.181; 189; 7.0e+8; 0.023; 10.5; 2.02; 14; 180; 2.0e+3; -1; 3.2; 6.6 
