sourcename; neutrino_flux_sensitivity_IceCube10yr_per_TeV; theoretical_neutrino_flux_sensitivity_IceCube15yr+Gen215yr_per_TeV; theoretical_neutrino_flux_sensitivity_ARCA230_10yr_per_GeV
0106+01; 7.0e-13; 5.0e-14; 2.1e-10
0157-4614; 1.5e-11; 2.0e-12; 1.5e-10
0242+23; 1.5e-12; 7.0e-14; 2.1e-10
0322+222; 1.5e-12; 7.0e-14; 2.1e-10
0420+022; 7.0e-13; 5.0e-14; 2.1e-10
0451-28; 8.0e-12; 1.0e-12; 2.0e-10
0458-02; 7.0e-13; 5.0e-14; 2.1e-10
0601-70; 1.5e-11; 2.0e-12; 1.2e-10
0625-5438; 1.5e-11; 2.0e-12; 1.3e-10
0907+230; 1.5e-12; 7.0e-14; 2.1e-10
0908+416; 2.0e-12; 1.0e-13; 2.2e-10
1149-084; 1.0e-12; 1.0e-13; 2.0e-10
1343+451; 2.0e-12; 1.0e-13; 2.2e-10
1344-1723; 3.0e-12; 2.0e-13; 2.0e-10
1537+2754; 2.0e-12; 1.0e-13; 2.2e-10
1656-3302; 1.0e-11; 1.0e-12; 1.8e-10
1959-4246; 1.5e-11; 2.0e-12; 1.6e-10
2118+188; 1.0e-12; 6.0e-14; 2.1e-10
2135-5006; 1.5e-11; 2.0e-12; 1.5e-10
